filing_date,trade_date,insider_name,title,trade_type,price,quantity,ownership,ownership_change,value
2005-10-19 20:31:17,2005-10-17,Oppenheimer Peter,SVP,S - Sale+OE,53.04,-29024.0,14143.0,-67.0,-1539475.0
2005-10-19 20:31:01,2005-10-17,Oppenheimer Peter,SVP,S - Sale+OE,52.89,-16100.0,14143.0,-53.0,-851537.0
2005-10-05 17:33:48,2005-10-03,Tevanian Avadis,SVP,S - Sale+OE,54.09,-300000.0,2504.0,-99.0,-16226445.0
2005-09-06 16:48:22,2005-09-01,Tevanian Avadis,SVP,S - Sale+OE,46.78,-300000.0,2504.0,-99.0,-14033000.0
2005-08-30 17:21:58,2005-08-26,Heinen Nancy R,SVP,S - Sale+OE,46.19,-125000.0,2630.0,-98.0,-5773766.0
2005-08-26 17:36:50,2005-08-24,Johnson Ronald B,SVP,S - Sale+OE,47.0,-300000.0,12597.0,-96.0,-14100000.0
2005-08-23 18:10:50,2005-08-19,Johnson Ronald B,SVP,S - Sale+OE,46.5,-450000.0,12597.0,-97.0,-20925000.0
2005-08-22 19:22:37,2005-08-18,Tevanian Avadis,SVP,S - Sale+OE,46.36,-80000.0,2504.0,-97.0,-3708700.0
2005-08-22 19:22:18,2005-08-18,Tevanian Avadis,SVP,S - Sale+OE,46.09,-220000.0,2504.0,-99.0,-10140200.0
2005-07-22 17:55:54,2005-07-20,Serlet Bertrand,SVP,S - Sale+OE,42.87,-18700.0,4416.0,-81.0,-801669.0
2005-07-20 17:37:13,2005-07-18,Serlet Bertrand,SVP,S - Sale+OE,41.58,-40000.0,4416.0,-90.0,-1663000.0
2005-07-18 18:22:00,2005-07-14,Serlet Bertrand,SVP,S - Sale+OE,40.84,-40000.0,4416.0,-90.0,-1633400.0
2005-07-13 17:38:01,2005-07-11,Serlet Bertrand,SVP,S - Sale+OE,38.65,-1300.0,4416.0,-23.0,-50245.0
2005-04-12 17:06:52,2005-04-08,Serlet Bertrand,SVP,S - Sale+OE,44.0,-40000.0,5416.0,-88.0,-1759800.0
2005-02-18 16:53:03,2005-02-16,Levinson Arthur D,Dir,S - Sale,88.22,-30000.0,131600.0,-19.0,-2646684.0
2005-02-08 17:15:38,2005-02-04,Schiller Philip W,SVP,S - Sale+OE,78.38,-25388.0,128.0,-99.0,-1989869.0
2005-02-08 17:14:44,2005-02-04,Schiller Philip W,SVP,S - Sale+OE,78.24,-49612.0,128.0,-100.0,-3881773.0
2005-01-31 17:07:40,2005-01-27,Rubinstein Jonathan,SVP,S - Sale,72.36,-9517.0,1570.0,-86.0,-688680.0
2005-01-27 19:47:49,2005-01-25,Tamaddon Sina,SVP,S - Sale+OE,72.27,-250000.0,7612.0,-97.0,-18067500.0
2005-01-27 19:47:30,2005-01-25,Tevanian Avadis,SVP,S - Sale+OE,71.22,-300000.0,1252.0,-100.0,-21365660.0
2005-01-20 17:22:50,2005-01-18,Cook Timothy D,EVP,S - Sale+OE,70.59,-10200.0,5903.0,-63.0,-719984.0
2005-01-20 17:22:18,2005-01-18,Cook Timothy D,EVP,S - Sale+OE,70.48,-41800.0,5903.0,-88.0,-2946046.0
2005-01-20 17:21:29,2005-01-18,Cook Timothy D,EVP,S - Sale+OE,70.33,-38000.0,5903.0,-87.0,-2672700.0
2005-01-20 17:20:34,2005-01-18,Cook Timothy D,EVP,S - Sale+OE,70.25,-30000.0,5903.0,-84.0,-2107619.0
2005-01-20 17:19:47,2005-01-18,Cook Timothy D,EVP,S - Sale+OE,70.13,-32000.0,5903.0,-84.0,-2244247.0
2005-01-20 17:19:04,2005-01-18,Cook Timothy D,EVP,S - Sale+OE,70.02,-32000.0,5903.0,-84.0,-2240674.0
2005-01-20 17:18:22,2005-01-18,Cook Timothy D,EVP,S - Sale+OE,69.87,-32000.0,5903.0,-84.0,-2235906.0
2005-01-20 17:17:37,2005-01-18,Cook Timothy D,EVP,S - Sale+OE,69.58,-34000.0,5903.0,-85.0,-2365625.0
2005-01-20 17:15:12,2005-01-18,Heinen Nancy R,SVP,S - Sale+OE,70.3,-26797.0,1315.0,-95.0,-1883928.0
2005-01-20 17:14:30,2005-01-18,Heinen Nancy R,SVP,S - Sale+OE,70.1,-60640.0,1315.0,-98.0,-4250954.0
2005-01-20 17:13:47,2005-01-18,Heinen Nancy R,SVP,S - Sale+OE,69.93,-87179.0,1315.0,-99.0,-6096197.0
2005-01-20 17:13:01,2005-01-18,Heinen Nancy R,SVP,S - Sale+OE,69.72,-75384.0,1315.0,-98.0,-5255456.0
2005-01-20 17:11:56,2005-01-18,Heinen Nancy R,SVP,S - Sale+OE,69.39,-150000.0,1315.0,-99.0,-10408695.0
2005-01-20 17:10:10,2005-01-18,Rubinstein Jonathan,SVP,S - Sale+OE,69.79,-250000.0,11087.0,-96.0,-17447900.0
2005-01-20 17:09:15,2005-01-18,Tamaddon Sina,SVP,S - Sale+OE,60.92,-100000.0,7612.0,-93.0,-6092349.0
